,product id,category_bean bag,category_bookshelf,category_cabinet,category_chair,category_chair ,category_desk,category_lamp,category_night stand,category_ottoman,category_pouf,category_shoe cabinet,category_sofa,category_table,category_toilet,category_wardrobe,color_antiquewhite,color_black,color_blue,color_burlywood,color_darkbrown,color_darkgoldenrod,color_darkslategray,color_dimgray,color_gainsboro,color_gray,color_grey,color_lightgray,color_linen,color_peru,color_red,color_rosybrown,color_saddlebrown,color_seagreen,color_sienna,color_silver,color_tan,color_white,color_whitesmoke,color_yellow,material_ceramic,material_cloth,material_foam,material_glass,material_leather,material_metal,material_plastic,material_plastic ,material_velvet,material_wood,length,breadth,height,price
0,bb01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.16804522439096148,-0.17628896049950069,-0.18715644686750182,-0.7369119927502575
1,bs02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.16746701786589877,-0.18329574089433356,-0.15571138560523531,0.6894606553283822
2,ca01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.1675595309099088,-0.1826951597176336,-0.17586445479327145,0.19834432440310207
3,ca02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.169432920051112,-0.185164215666289,-0.18543128141171664,1.2659885220667546
4,ch01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.17019615266419477,-0.18196111605722254,-0.18762694653726142,-0.7625354534941852
5,ch02,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.17035805049121233,-0.1824282347502114,-0.1921751100116042,-1.509886391858742
6,ch04,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.16940979179010948,-0.18015937252712266,-0.1872348634791284,-0.46573036654368977
7,ch05,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.17091312875527254,-0.1842967095221668,-0.18786219637214122,-0.1157565985495445
8,ch06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.17146820701933274,-0.18563133435927784,-0.1918614435650978,-0.4422421941950894
9,ch07,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.1672588635168762,-0.17415356076012303,-0.18762694653726142,-0.7988353562147493
10,ch09,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.16744388960489626,-0.17415356076012303,-0.18762694653726142,-0.65577103372782
11,ch10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.17019615266419477,-0.1820278472990781,-0.1895873618279264,-0.5703594979147277
12,ch11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.17079748745026,-0.1838963220710335,-0.1883326960419008,-0.015184515129628432
13,ch12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.17031179396920731,-0.18329574089433356,-0.190842027613952,0.19834432440310207
14,dk01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.16663440046980846,-0.1804930287364004,-0.18668594719774223,-0.45932450135770786
15,la01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.17144507875833023,-0.1855646031174223,-0.1910772774488318,-1.7127387894148358
16,la02,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.17119066788730264,-0.1848972906988668,-0.18268670000478562,-1.7234152313914723
17,la03,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.1710750265822901,-0.18469709697330014,-0.18284353322803884,-1.509886391858742
18,la04,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.17014989614218975,-0.18443017200587794,-0.1914693605069648,-0.8692998732605505
19,la05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.15766063520083512,-0.14625990166450265,-0.14716397493793593,-0.7411825695409121
20,ns01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.16966420266113708,-0.18015937252712266,-0.18331403289779843,-1.7234152313914723
21,ot01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.16929415048509694,-0.18096014742938926,-0.18370611595593142,-0.33120719763806955
22,po01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.17035805049121233,-0.18443017200587794,-0.1929592761278702,-0.5490066139614547
23,sc01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.1702424091861998,-0.1848972906988668,-0.1898226116628062,-1.509886391858742
24,so01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.16212438957431927,-0.17034987997435663,-0.18543128141171664,0.19834432440310207
25,so02,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.16797583960795395,-0.18342920337804466,-0.1917046103418446,-0.65577103372782
26,so03,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.993154850781232,6.7838462962763435,7.02756390583781,-0.8692998732605505
27,so04,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.189824591189173,5.870228864031992,6.291780838945424,0.625402003468563
28,so08,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.15821571346489532,-0.16728024284900128,-0.18707803025587522,-0.5447360371708001
29,so11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.1664493743817884,-0.17895821017372274,-0.18896002893491362,2.333632719730407
30,so13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.16684255481883103,-0.18149399736423366,-0.18848952926515403,2.333632719730407
31,ta01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.1711212831042951,-0.1852976781500001,-0.1893521119930466,-0.5447360371708001
32,ta02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.17017302440319226,-0.181894384815367,-0.1920966933999776,-0.33120719763806955
33,ta03,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.16855404613301667,-0.1772231978854784,-0.18315719967454522,-1.082828712793281
34,ta04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.170843743972265,-0.18382959082917796,-0.190449944555819,-0.9760642930269157
35,ta05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.16827650700098656,-0.17642242298321179,-0.19178302695347121,-1.4031219720923767
36,ta06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.1699879983151722,-0.18436344076402236,-0.1913909438953382,-0.8692998732605505
37,ta07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.16950230483411952,-0.17995917880155599,-0.1888031957116604,-0.6685827640997838
38,ta09,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.16496916567762784,-0.17261874219744536,-0.18401978240243783,2.333632719730407
39,to01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-0.17068184614524745,-0.18422997828031126,-0.18919527876979342,0.19834432440310207
