product id,product,product link,product name,category,color,material,support color,support material ,product image ,image link,length,breadth,height,price,description,,,,,,,,,,,,,,
bb01,bb01.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/bb01.glb?alt=media&token=3445cee6-4ff9-4761-9d57-1ed8f5b9867c,,bean bag,darkslategray,velvet,darkslategray,velvet,bb01.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fbb01.jpg?alt=media&token=34227c44-ccbe-45bf-9e65-600d0838b309,175,167,100,5620,,,,,,,,,,,,,,,
bs02,bs02.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/bs02.glb?alt=media&token=da077f53-6c1c-449e-b021-0d7188a118cd,,bookshelf,sienna,wood,peru,wood,bs02.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fbs02.jpg?alt=media&token=92b40889-16be-4f9d-9f58-653b60c43828,200,62,501,12300,,,,,,,,,,,,,,,
ca01,ca01.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/ca01.glb?alt=media&token=47f64c5a-83d8-476a-a23f-46e7529ef9ff,,cabinet,dimgray,plastic ,dimgray,plastic,ca01.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fca01.jpg?alt=media&token=1ecfcc10-c28c-4333-969a-6a3f529d3a01,196,71,244,10000,,,,,,,,,,,,,,,
ca02,ca02.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/ca02.glb?alt=media&token=c3e2f81e-60f2-478b-8e91-b8f37292514b,,cabinet,gainsboro,wood,gainsboro,wood,ca02.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fca02.jpg?alt=media&token=ee80de65-5555-4818-a088-63099513e452,115,34,122,15000,,,,,,,,,,,,,,,
ch01,ch01.gltf,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/ch01.gltf?alt=media&token=17ecb8b7-8ee2-4f67-8ce8-2c6e96b0e628,,chair,darkslategray,leather,darkslategray,metal,ch01.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fch01.jpg?alt=media&token=5815df39-0293-4831-b075-de0486df87eb,82,82,94,5500,,,,,,,,,,,,,,,
ch02,ch02.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/ch02.glb?alt=media&token=96653d71-11fa-443f-bd3a-7097f96e01d6,,chair,lightgray,cloth,lightgray,wood,ch02.png,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fch02.png?alt=media&token=1286219c-ebbb-4374-9c4e-d924a63ba9d1,75,75,36,2000,,,,,,,,,,,,,,,
ch04,ch04.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/ch04.glb?alt=media&token=c203f01e-c24c-4ad4-be8b-dc3668c575a7,,chair ,rosybrown,leather,white,metal,ch04.png,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fch04.png?alt=media&token=03d8ee91-3edd-442d-9ee7-3632b2e9fe7f,116,109,99,6890,,,,,,,,,,,,,,,
ch05,ch05.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/ch05.glb?alt=media&token=7c12afbe-f114-477b-8f8a-9581444ada6d,,chair,gainsboro,wood,gainsboro,wood,ch05.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fch05.jpg?alt=media&token=af376de3-cbe3-49ef-ad7a-94f493bc4df6,51,47,91,8529,,,,,,,,,,,,,,,
ch06,ch06.gltf,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/ch06.gltf?alt=media&token=a0fbbb84-4cca-44f7-bb1a-7f39f79dbd3c,Office chair,chair,black,cloth,black,plastic,ch06.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fch06.jpg?alt=media&token=d8e9e51c-8d7d-447f-a0a9-73a751776d4c,27,27,40,7000,,,,,,,,,,,,,,,
ch07,ch07.glb,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/ch07.glb?alt=media&token=47c2a888-1613-4f4f-aa7d-3cf65f3dd089,,chair,darkslategray,velvet,darkslategray,wood,ch07.jpg,https://firebasestorage.googleapis.com/v0/b/craft-comfort-b11a0.appspot.com/o/images%2Fch07.jpg?alt=media&token=d2376b4d-97a2-41ec-a339-4c1aeed88696,209,199,94,5330,,,,,,,,,,,,,,,
